score,max_element
1000,128
1104,128
1552,128
1396,128
1344,128
1116,128
1248,128
1376,128
264,32
596,64
1300,128
1024,128
256,32
300,32
1484,128
1128,128
2300,256
1304,128
968,64
564,64
1368,128
320,32
1496,128
880,64
1336,128
1524,128
1336,128
2592,256
1032,128
708,64
816,64
948,64
1492,128
1304,128
780,64
1020,128
892,64
692,64
760,64
2584,256
572,32
700,64
1204,128
2020,256
716,64
980,128
2896,256
1188,128
676,64
976,64
864,64
512,64
1740,128
684,64
860,64
1144,128
1420,128
664,64
1468,128
1696,128
512,64
1332,128
880,64
240,32
1348,128
920,64
632,64
548,64
656,64
1956,256
672,64
1216,128
828,64
1248,128
736,64
1040,128
736,64
1032,64
664,64
568,64
1056,128
1172,128
1416,128
1936,256
636,64
540,64
1340,128
1152,128
540,64
1192,128
1488,128
1616,128
1400,128
404,32
648,64
1292,128
1440,128
1468,128
1340,128
380,32
1440,128
1072,128
568,64
604,64
1276,128
736,64
796,64
588,64
732,64
948,64
244,32
1696,128
940,64
1592,128
1180,128
824,64
2328,256
832,64
2028,128
1664,128
1448,128
1340,128
1492,128
604,64
1304,128
1472,128
404,32
1212,128
596,64
1356,128
268,32
1996,256
720,64
1040,128
444,32
1436,128
1456,128
900,64
1288,128
1428,128
1552,128
1300,128
2296,256
1380,128
660,64
3028,256
1276,128
1036,128
1284,128
1484,128
780,64
692,64
1020,64
1068,128
1728,128
1404,128
692,64
792,64
480,64
492,64
2064,256
1316,128
1080,128
1156,128
2440,256
1304,128
1088,128
840,64
1592,128
1060,128
1488,128
636,64
1000,128
1300,128
2404,256
1016,64
864,64
2336,256
1340,128
2408,256
588,64
1324,128
384,32
1384,128
1224,128
716,64
568,64
900,128
768,64
1076,128
1140,128
424,32
416,32
2320,256
1160,128
564,64
1432,128
1624,128
1492,128
796,64
592,64
792,64
932,64
1228,128
624,64
2100,256
848,64
556,64
400,32
2096,256
1148,128
1464,128
568,64
532,64
352,32
780,64
2804,256
1552,128
1360,128
1216,128
964,64
576,64
716,64
448,32
1240,128
1408,128
796,64
1324,128
1540,128
292,32
384,32
2084,256
1156,128
804,64
1568,128
1316,128
1052,128
1056,128
1672,128
724,64
648,64
488,64
1252,128
1216,128
1316,128
376,32
1084,128
2452,256
360,32
560,64
1404,128
1328,128
1356,128
1184,128
832,64
1028,128
1124,128
676,64
1356,128
620,64
600,64
1228,128
1168,128
1348,128
704,64
464,32
2472,256
1344,128
1084,128
2544,256
1028,128
1404,128
628,64
448,64
860,64
592,64
768,64
1220,128
1356,128
956,64
628,64
576,64
2364,256
2704,256
1492,128
1388,128
1040,128
628,64
1024,128
1152,128
964,128
1216,128
576,64
704,64
1588,128
2920,256
1344,128
2684,256
1032,128
648,64
416,32
768,64
1340,128
412,32
720,64
1288,128
572,64
1080,128
1124,128
724,64
1316,128
680,64
1148,128
2424,256
616,64
1460,128
616,64
1244,128
380,32
612,64
264,32
628,64
680,64
1368,128
1232,128
648,64
1632,128
584,64
608,64
1328,128
1296,128
1972,128
820,64
680,64
1544,128
420,32
548,64
1404,128
620,64
988,128
1612,128
632,64
1032,128
1244,128
880,64
1612,128
1368,128
692,64
728,64
2540,256
968,128
304,32
1264,128
684,64
920,128
600,64
2072,128
928,64
1032,128
284,32
2884,256
3136,256
1192,128
1412,128
1772,128
652,64
2192,256
1356,128
464,64
580,64
540,32
660,64
868,64
1660,128
868,64
1216,128
380,32
696,64
500,32
1112,128
616,64
680,64
336,32
1420,128
1048,64
1160,128
1364,128
1188,128
740,64
348,32
768,64
1088,128
3036,256
348,32
1312,128
1392,128
1636,128
1360,128
664,64
1264,128
544,64
396,32
1256,128
388,32
1400,128
396,32
584,64
1480,128
744,64
1164,128
1328,128
1392,128
436,64
672,64
1420,128
1388,128
372,32
888,128
1348,128
644,64
1116,128
1856,128
1404,128
1772,128
704,64
1076,64
2764,256
832,64
584,64
1216,128
1052,128
796,64
472,64
848,64
676,64
1328,128
2396,256
1100,128
1564,128
1092,128
1316,128
1516,128
660,64
664,64
1408,128
1212,128
1096,128
1328,128
1452,128
1180,128
396,32
632,64
1368,128
1056,128
2360,256
1396,128
2720,256
1016,128
1364,128
1352,128
920,64
1320,128
692,64
1292,128
532,64
660,64
1264,128
1272,128
772,64
724,64
444,64
1124,128
1044,128
1624,128
856,64
2688,256
1284,128
888,64
1032,64
1508,128
624,64
1648,128
656,64
1304,128
564,64
1060,128
1420,128
560,64
624,64
1620,128
788,64
1148,128
624,64
1808,128
1480,128
700,64
628,64
456,64
1328,128
652,64
1484,128
184,16
1496,128
720,64
888,64
1384,128
1656,128
1444,128
376,32
1740,128
728,64
792,64
704,64
1276,128
1008,64
1124,128
1012,128
2372,256
636,64
808,64
1316,128
876,64
1016,128
960,64
1128,128
972,128
940,64
752,64
1292,128
1548,128
932,64
1068,128
1224,128
2072,128
764,64
1260,128
768,64
704,64
676,64
1832,128
644,64
336,32
2108,256
1440,128
828,64
1484,128
672,64
1036,128
676,64
632,64
1356,128
1280,128
456,64
1088,128
1032,128
1128,128
2340,256
1344,128
1356,128
688,64
592,64
2444,256
1020,128
1100,128
1096,128
560,64
1204,128
268,32
1412,128
1256,128
1188,128
572,64
1304,128
640,64
636,64
696,64
868,64
608,64
384,32
1060,64
1276,128
460,64
1020,128
1160,128
1348,128
616,64
1376,128
324,32
1956,128
1212,128
1180,128
1064,128
596,64
1292,128
1164,128
1340,128
1076,128
1268,128
648,64
2164,256
652,64
1168,128
316,32
992,128
1696,128
976,64
804,64
1192,128
1184,128
2064,256
1144,128
1740,128
448,32
116,16
1380,128
1728,128
932,128
1716,128
852,64
1364,128
1276,128
800,64
616,64
696,64
640,64
1236,128
1328,128
524,64
972,128
780,64
1228,128
628,64
1060,128
1080,128
720,64
892,64
380,32
716,64
1412,128
1284,128
2384,256
828,64
592,64
1036,128
624,64
1500,128
1716,128
2612,256
1056,64
616,64
800,64
924,128
816,64
624,64
716,64
700,64
704,64
840,64
460,32
992,128
1184,128
616,64
948,128
1268,128
1076,128
1260,128
1308,128
1152,128
1016,128
652,64
1168,128
568,64
2296,256
788,64
732,64
876,64
1068,128
1372,128
664,64
704,64
2140,256
472,64
840,64
1224,128
432,32
864,64
464,64
388,32
620,64
2256,256
704,64
580,64
1036,128
648,64
600,64
1160,128
912,64
1352,128
568,64
788,64
1396,128
836,64
612,64
832,64
1164,128
872,64
520,32
1288,128
472,64
576,64
980,64
580,64
1044,128
248,32
864,128
2216,128
692,64
472,64
1120,128
1048,128
544,64
1284,128
716,64
