score,max_element
568,64
640,64
1612,128
2320,256
2456,256
2156,256
720,64
1604,128
1576,128
464,32
1356,128
636,64
752,64
348,32
700,64
888,128
884,64
724,64
1444,128
1408,128
620,64
564,64
704,64
388,32
632,64
632,64
732,64
1328,128
1560,128
1480,128
1380,128
668,64
1356,128
1648,128
756,64
2496,256
764,64
764,64
1020,128
1960,128
1548,128
988,128
1148,128
612,64
1144,128
300,32
596,64
1044,128
1596,128
876,64
1420,128
3048,256
296,32
1440,128
920,128
2112,256
1296,128
860,64
1568,128
392,32
1032,128
1408,128
816,64
644,64
1396,128
564,64
1664,128
1336,128
1144,128
704,64
780,64
696,64
1540,128
588,64
1020,128
616,64
792,64
2436,256
1396,128
1476,128
1416,128
272,32
1448,128
836,64
1380,128
920,128
596,64
1356,128
904,64
1336,128
1536,128
932,64
1072,128
1060,128
1380,128
332,32
1068,128
1084,128
588,64
1328,128
724,64
592,64
1352,128
656,64
1156,128
1380,128
740,64
2108,256
2272,256
668,64
1452,128
1056,128
2404,256
420,32
616,64
872,64
540,64
616,64
292,32
1744,128
1104,128
744,64
464,32
1088,128
1032,128
552,64
1132,128
668,64
2212,256
1200,128
1356,128
428,64
1348,128
816,64
2688,256
868,64
1236,128
696,64
1284,128
1272,128
2156,256
960,64
488,64
1504,128
1048,128
1328,128
1144,128
1316,128
2348,256
752,64
2272,256
2500,256
1608,128
2172,256
840,64
1300,128
580,64
768,64
1176,128
572,64
652,64
1076,128
592,64
1284,128
2060,256
1520,128
1176,128
976,64
1304,128
532,32
716,64
1000,128
784,64
1268,128
976,128
1712,128
384,32
1212,128
1444,128
436,32
856,64
1028,128
1312,128
1288,128
2300,256
792,64
1080,128
564,64
1200,128
1136,128
768,64
888,64
2068,128
1236,128
1232,128
1284,128
672,64
2052,128
1296,128
1456,128
1176,128
472,32
1008,128
2828,256
1348,128
1604,128
608,64
364,32
624,64
1352,128
1180,128
1544,128
1400,128
2032,256
1408,128
1032,128
1696,128
1396,128
1004,64
1448,128
1224,128
1296,128
1240,128
1972,256
1236,128
992,128
388,32
292,32
252,16
600,64
924,64
1292,128
1624,128
340,32
1060,128
1544,128
1304,128
744,64
1028,128
1340,128
688,64
776,64
1328,128
732,64
924,64
1200,128
740,64
2320,256
1348,128
1744,128
1036,128
1516,128
472,64
964,64
1372,128
700,64
1712,128
1300,128
608,64
1080,128
1540,128
788,64
684,64
912,64
516,64
992,64
1104,128
752,64
1316,128
520,64
1240,128
2708,256
420,32
308,32
636,64
388,32
1360,128
628,64
1124,128
1236,128
908,64
1376,128
1072,128
1152,128
1472,128
1540,128
1264,128
412,32
1144,128
840,64
720,64
2068,256
1368,128
772,64
420,32
672,64
2276,256
1240,128
1012,128
644,64
1252,128
1040,128
788,64
1668,128
568,64
968,128
404,32
1700,128
1420,128
1284,128
1256,128
488,32
2452,256
2876,256
572,64
1064,128
952,64
1676,128
1380,128
1280,128
1284,128
2896,256
568,64
396,32
896,64
1376,128
672,64
1468,128
584,64
668,64
1196,128
1320,128
1288,128
640,64
752,64
608,64
1676,128
1068,64
456,32
412,32
1072,128
1788,128
944,64
1104,128
1012,64
784,64
748,64
1092,128
2320,256
1112,128
900,64
1488,128
324,32
1560,128
2456,256
1276,128
440,32
460,64
1376,128
1208,128
1060,128
324,32
448,32
2752,256
3088,256
2808,256
764,64
544,64
1316,128
500,64
1376,128
756,64
612,64
1708,128
872,64
1148,128
1180,128
1332,128
1524,128
1944,128
560,64
672,64
1088,64
1308,128
1104,128
1140,128
2996,256
684,64
1468,128
2940,256
900,64
440,32
692,64
380,32
1056,128
1420,128
1344,128
700,64
1528,128
1080,128
1432,128
688,64
580,64
1088,128
2504,256
1216,128
388,32
1088,128
320,32
2592,256
424,32
1504,128
488,64
1368,128
1276,128
2344,256
1396,128
1488,128
1080,128
1212,128
628,64
784,64
664,64
692,64
1632,128
372,32
2412,256
752,64
1292,128
652,64
1096,128
980,128
1016,128
1688,128
408,64
1364,128
1080,128
1040,128
1200,128
1100,128
476,32
1380,128
332,32
1920,128
1300,128
2216,256
1092,128
1132,128
768,64
1288,128
872,64
1284,128
968,128
620,64
1268,128
1280,128
700,64
1264,128
580,64
816,64
1448,128
1988,256
1212,128
560,64
732,64
808,64
1332,128
1520,128
1140,128
1104,128
684,64
688,64
228,32
2316,256
1016,128
640,64
1272,128
884,64
1320,128
632,64
1288,128
500,64
580,64
1212,128
1524,128
1284,128
716,64
580,64
1044,128
1396,128
568,64
1772,128
260,32
756,64
824,64
236,32
1008,64
736,64
1396,128
664,64
800,64
1300,128
1424,128
1492,128
824,64
636,64
1032,128
636,64
2092,256
2524,256
268,32
976,128
1060,128
3084,256
820,64
860,64
848,64
560,64
1612,128
616,64
352,32
672,64
1348,128
1432,128
572,64
1368,128
1500,128
636,64
544,64
620,64
552,64
2416,256
1368,128
624,64
1124,128
728,64
600,64
1788,128
1528,128
1448,128
1128,128
